"AmbientPOS Export"
"Export Branch",57
"Data From","2019-05-16 00:00:00"
"Data From","2019-05-16 23:59:59"
,ServiceNo,Status,"Date/Time Order","Menu Code",Type,"Menu Name",Quantity,"Unit Price",Topup,Discount,"Total Price","Line Amount",VAT,PaidBy,Cashier
1,1905160005700001,Normal,"16/05/2019 07:05:31",ES,"Iced Coffee",Espresso,1,55,0,0,55,55,0,Cash,admin
2,1905160005700001,Normal,"16/05/2019 07:05:31",,Food,ขนมปังเนยนม,1,20,0,0,20,75,0,Cash,admin
3,1905160005700002,Normal,"16/05/2019 07:33:04",AM,"Iced Coffee",Americano,1,55,20,0,75,75,0,QR-BBL,admin
4,1905160005700002,Normal,"16/05/2019 07:33:04",CP,"Iced Coffee",Cappucino,1,55,0,0,55,130,0,QR-BBL,admin
5,1905160005700003,Normal,"16/05/2019 09:38:50",,Pomotion,อเมริกาโน่เย็น,1,39,0,0,39,39,0,QR-BBL,admin
6,1905160005700004,Normal,"16/05/2019 09:38:57",,Pomotion,สุขนิยมเย็น,1,39,0,0,39,39,0,QR-BBL,admin
,,,,,,,6,,20,0,283,0.00,0.00,,
