"AmbientPOS Export"
"Export Branch",1
"Data From","2019-11-06 00:00:00"
"Data From","2019-11-06 23:59:59"
,ServiceNo,Status,"Date/Time Order","Menu Code",Type,"Menu Name",Quantity,"Unit Price",Topup,Discount,"Total Price","Line Amount",VAT,PaidBy,Cashier
1,1,Normal,"06/11/2019 00:00:00",,,"Amazing Station",7,0,,,0,0,0,,
2,2,Normal,"06/11/2019 00:00:00",,,"Cowboy Island",6,0,,,0,0,0,,
3,5,Normal,"06/11/2019 00:00:00",,,Cyclone,4,0,,,0,0,0,,
4,4,Normal,"06/11/2019 00:00:00",,,Cyclone,12,0,,,0,0,0,,
5,3,Normal,"06/11/2019 00:00:00",,,Cyclone,2,0,,,0,0,0,,
6,9,Normal,"06/11/2019 00:00:00",,,Cycloneonline,6,0,,,0,0,0,,
7,8,Normal,"06/11/2019 00:00:00",,,Cycloneonline,6,0,,,0,0,0,,
8,7,Normal,"06/11/2019 00:00:00",,,Cycloneonline,10,0,,,0,0,0,,
9,6,Normal,"06/11/2019 00:00:00",,,Cycloneonline,6,0,,,0,0,0,,
10,10,Normal,"06/11/2019 00:00:00",,,"Danz Base",2,0,,,0,0,0,,
11,11,Normal,"06/11/2019 00:00:00",,,"Dead Strom Pirates",6,0,,,0,0,0,,
12,13,Normal,"06/11/2019 00:00:00",,,"Dragon Punch",23,0,,,0,0,0,,
13,12,Normal,"06/11/2019 00:00:00",,,"Dragon Punch",9,0,,,0,0,0,,
14,17,Normal,"06/11/2019 00:00:00",,,"Fishing King 10 P.",1,0,,,0,0,0,,
15,16,Normal,"06/11/2019 00:00:00",,,"Fishing King 10 P.",1,0,,,0,0,0,,
16,15,Normal,"06/11/2019 00:00:00",,,"Fishing King 10 P.",1,0,,,0,0,0,,
17,14,Normal,"06/11/2019 00:00:00",,,"Fishing King 10 P.",4,0,,,0,0,0,,
18,18,Normal,"06/11/2019 00:00:00",,,"Gun Bullet X",14,0,,,0,0,0,,
19,19,Normal,"06/11/2019 00:00:00",,,"Hero Crane",3,0,,,0,0,0,,
20,21,Normal,"06/11/2019 00:00:00",,,"Hocky 2000",10,0,,,0,0,0,,
21,20,Normal,"06/11/2019 00:00:00",,,"Hocky 2000",14,0,,,0,0,0,,
22,22,Normal,"06/11/2019 00:00:00",,,"House Of The Dead",39,0,,,0,0,0,,
23,23,Normal,"06/11/2019 00:00:00",,,"Jurassic Park",21,0,,,0,0,0,,
24,24,Normal,"06/11/2019 00:00:00",,,"King Of The Hammer",28,0,,,0,0,0,,
25,25,Normal,"06/11/2019 00:00:00",,,MaiMai,36,0,,,0,0,0,,
26,27,Normal,"06/11/2019 00:00:00",,,"Master Speed",4,0,,,0,0,0,,
27,26,Normal,"06/11/2019 00:00:00",,,"Master Speed",8,0,,,0,0,0,,
28,29,Normal,"06/11/2019 00:00:00",,,"Midnight DX 5 Eco",11,0,,,0,0,0,,
29,28,Normal,"06/11/2019 00:00:00",,,"Midnight DX 5 Eco",5,0,,,0,0,0,,
30,30,Normal,"06/11/2019 00:00:00",,,"Midnight DX 5 Eco",8,0,,,0,0,0,,
31,33,Normal,"06/11/2019 00:00:00",,,"Midnight DX 5 Master",1,0,,,0,0,0,,
32,32,Normal,"06/11/2019 00:00:00",,,"Midnight DX 5 Master",3,0,,,0,0,0,,
33,31,Normal,"06/11/2019 00:00:00",,,"Midnight DX 5 Master",2,0,,,0,0,0,,
34,34,Normal,"06/11/2019 00:00:00",,,"Midnight DX 5 Master",2,0,,,0,0,0,,
35,37,Normal,"06/11/2019 00:00:00",,,"Mini Crane",3,0,,,0,0,0,,
36,36,Normal,"06/11/2019 00:00:00",,,"Mini Crane",4,0,,,0,0,0,,
37,35,Normal,"06/11/2019 00:00:00",,,"Mini Crane",10,0,,,0,0,0,,
38,38,Normal,"06/11/2019 00:00:00",,,"Mini Key",30,0,,,0,0,0,,
39,41,Normal,"06/11/2019 00:00:00",,,"Mini Mario",2,0,,,0,0,0,,
40,40,Normal,"06/11/2019 00:00:00",,,"Mini Mario",3,0,,,0,0,0,,
41,39,Normal,"06/11/2019 00:00:00",,,"Mini Mario",8,0,,,0,0,0,,
42,42,Normal,"06/11/2019 00:00:00",,,"Percussion Master",6,0,,,0,0,0,,
43,43,Normal,"06/11/2019 00:00:00",,,Pinball,8,0,,,0,0,0,,
44,44,Normal,"06/11/2019 00:00:00",,,"Pump It Up",9,0,,,0,0,0,,
45,45,Normal,"06/11/2019 00:00:00",,,"Q Crane",2,0,,,0,0,0,,
46,48,Normal,"06/11/2019 00:00:00",,,"Q Crane",3,0,,,0,0,0,,
47,47,Normal,"06/11/2019 00:00:00",,,"Q Crane",2,0,,,0,0,0,,
48,46,Normal,"06/11/2019 00:00:00",,,"Q Crane",8,0,,,0,0,0,,
49,49,Normal,"06/11/2019 00:00:00",,,"Rodeo King",5,0,,,0,0,0,,
50,51,Normal,"06/11/2019 00:00:00",,,"Shooting Junior",2,0,,,0,0,0,,
51,50,Normal,"06/11/2019 00:00:00",,,"Shooting Junior",6,0,,,0,0,0,,
52,52,Normal,"06/11/2019 00:00:00",,,Show-time,8,0,,,0,0,0,,
53,53,Normal,"06/11/2019 00:00:00",,,"Speed Rider 2",6,0,,,0,0,0,,
54,54,Normal,"06/11/2019 00:00:00",,,"Speed Rider 2",10,0,,,0,0,0,,
55,56,Normal,"06/11/2019 00:00:00",,,"Super MVP 3",12,0,,,0,0,0,,
56,55,Normal,"06/11/2019 00:00:00",,,"Super MVP 3",16,0,,,0,0,0,,
57,57,Normal,"06/11/2019 00:00:00",,,"Sweet Toy",10,0,,,0,0,0,,
58,59,Normal,"06/11/2019 00:00:00",,,"Sweet Toy",1,0,,,0,0,0,,
59,58,Normal,"06/11/2019 00:00:00",,,"Sweet Toy",8,0,,,0,0,0,,
60,61,Normal,"06/11/2019 00:00:00",,,"TOY Soldier 2",7,0,,,0,0,0,,
61,60,Normal,"06/11/2019 00:00:00",,,"TOY Soldier 2",18,0,,,0,0,0,,
62,63,Normal,"06/11/2019 00:00:00",,,"TOY Soldier 2",1,0,,,0,0,0,,
63,62,Normal,"06/11/2019 00:00:00",,,"TOY Soldier 2",3,0,,,0,0,0,,
64,65,Normal,"06/11/2019 00:00:00",,,"Vegetable and fruit",2,0,,,0,0,0,,
