"AmbientPOS Export"
"Export Branch",1
"Data From","2019-12-12 00:00:00"
"Data From","2019-12-12 23:59:59"
,ServiceNo,Status,"Date/Time Order","Menu Code",Type,"Menu Name",Quantity,"Unit Price",Topup,Discount,"Total Price","Line Amount",VAT,PaidBy,Cashier
58,8985,Normal,"12/12/2019 00:00:00",,,"Funny Claw",13,0,,,0,0,0,Wahlap,
59,9001,Normal,"12/12/2019 00:00:00",,,"Guitar Freaks",10,0,,,0,0,0,Wahlap,
60,9003,Normal,"12/12/2019 00:00:00",,,Gundam,1,0,,,0,0,0,Wahlap,
61,9004,Normal,"12/12/2019 00:00:00",,,Gundam,3,0,,,0,0,0,Wahlap,
62,9002,Normal,"12/12/2019 00:00:00",,,Gundam,5,0,,,0,0,0,Wahlap,
63,9005,Normal,"12/12/2019 00:00:00",,,"Hit And Smash",17,0,,,0,0,0,Wahlap,
64,9006,Normal,"12/12/2019 00:00:00",,,"House of the Dead",30,0,,,0,0,0,Wahlap,
65,9007,Normal,"12/12/2019 00:00:00",,,Jubeat,3,0,,,0,0,0,Wahlap,
66,9008,Normal,"12/12/2019 00:00:00",,,Jubeat,6,0,,,0,0,0,Wahlap,
67,9009,Normal,"12/12/2019 00:00:00",,,"Jurassic Park",3,0,,,0,0,0,Wahlap,
68,9010,Normal,"12/12/2019 00:00:00",,,"Lane Master",2,0,,,0,0,0,Wahlap,
69,9011,Normal,"12/12/2019 00:00:00",,,"Lane Master",3,0,,,0,0,0,Wahlap,
70,9012,Normal,"12/12/2019 00:00:00",,,"Little Printer",2,0,,,0,0,0,Wahlap,
71,9013,Normal,"12/12/2019 00:00:00",,,"Little Printer",2,0,,,0,0,0,Wahlap,
72,9015,Normal,"12/12/2019 00:00:00",,,"Magic Sprinker",5,0,,,0,0,0,Wahlap,
73,9014,Normal,"12/12/2019 00:00:00",,,"Magic Sprinker",4,0,,,0,0,0,Wahlap,
74,9016,Normal,"12/12/2019 00:00:00",,,"Mai Mai",20,0,,,0,0,0,Wahlap,
75,9018,Normal,"12/12/2019 00:00:00",,,"Master Speed",1,0,,,0,0,0,Wahlap,
76,9017,Normal,"12/12/2019 00:00:00",,,"Master Speed",2,0,,,0,0,0,Wahlap,
77,9020,Normal,"12/12/2019 00:00:00",,,Midnight,11,0,,,0,0,0,Wahlap,
78,9023,Normal,"12/12/2019 00:00:00",,,Midnight,16,0,,,0,0,0,Wahlap,
79,9026,Normal,"12/12/2019 00:00:00",,,Midnight,20,0,,,0,0,0,Wahlap,
80,9021,Normal,"12/12/2019 00:00:00",,,Midnight,6,0,,,0,0,0,Wahlap,
81,9024,Normal,"12/12/2019 00:00:00",,,Midnight,28,0,,,0,0,0,Wahlap,
82,9019,Normal,"12/12/2019 00:00:00",,,Midnight,14,0,,,0,0,0,Wahlap,
83,9022,Normal,"12/12/2019 00:00:00",,,Midnight,5,0,,,0,0,0,Wahlap,
84,9025,Normal,"12/12/2019 00:00:00",,,Midnight,80,0,,,0,0,0,Wahlap,
85,9029,Normal,"12/12/2019 00:00:00",,,"Mini Mario",10,0,,,0,0,0,Wahlap,
86,9027,Normal,"12/12/2019 00:00:00",,,"Mini Mario",13,0,,,0,0,0,Wahlap,
87,9028,Normal,"12/12/2019 00:00:00",,,"Mini Mario",9,0,,,0,0,0,Wahlap,
88,9030,Normal,"12/12/2019 00:00:00",,,"MIni Twin",25,0,,,0,0,0,Wahlap,
89,9031,Normal,"12/12/2019 00:00:00",,,"MIni Twin",4,0,,,0,0,0,Wahlap,
90,9032,Normal,"12/12/2019 00:00:00",,,"Night Hunter",1,0,,,0,0,0,Wahlap,
91,9033,Normal,"12/12/2019 00:00:00",,,"Nuaghty Beans",11,0,,,0,0,0,Wahlap,
92,9034,Normal,"12/12/2019 00:00:00",,,"Operation Ghost",10,0,,,0,0,0,Wahlap,
93,9035,Normal,"12/12/2019 00:00:00",,,"Pop Music",4,0,,,0,0,0,Wahlap,
94,9037,Normal,"12/12/2019 00:00:00",,,"Pump It Up",21,0,,,0,0,0,Wahlap,
95,9036,Normal,"12/12/2019 00:00:00",,,"Pump It Up",7,0,,,0,0,0,Wahlap,
96,9038,Normal,"12/12/2019 00:00:00",,,"Rocker Cat",2,0,,,0,0,0,Wahlap,
