"Esplande MniLand
Games data summary
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
region,,"Device Type","Controller usage","Equipment LOGO","Device name",Profit,"Consumption amount","Out gift amount",,"Gift rate","Ticket rate","Single Coin ticketing rate","Win rate","Gross profit",Revenue,"Divided into","Token A",,"Token B",,Token,,"WeChat PAY",ALIPAY,E-Cash,,,Ticket,e-Ticket,"Number of gifts","Profit ratio",Times,"Machine Qty","Average Token A","Average Token B","Play times",Notes,Partner,"Is test data"
,,,,,,,,,,,,,,,,,"Token In","Token Out","Token In","Token B Refund","Token In","Token Out",,,Principal,Bonus,"Total revenue",,,,,,,,,,,,
,,"Dragon Punch","Game machine",0175,"Dragon Punch 2.2",,$40.00,,,,,,,40.00,$40.00,,,,,,,,,,$40.00,,$40.00,,,,"0.00 %",,,,,4,,,No
,,"Dragon Punch","Game machine",0176,"Dragon Punch 2.1",,$30.00,,,,,,,30.00,$30.00,,,,,,,,,,$30.00,,$30.00,,,,"0.00 %",,,,,3,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,$70.00,0.00,,,,,,70.00,$70.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$70.00,$0.00,$70.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Drop A Prize ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Drop A Prize","Prize Machine",0138,"Drop A Prize",,$160.00,,,,,,,160.00,$160.00,,,,,,,,,,$160.00,,$160.00,,,,"0.00 %",,,,,16,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,$160.00,0.00,,,,,,160.00,$160.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$160.00,$0.00,$160.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Fishing King 10 P. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Fishing King 10 P.","Return Tickets",0124,"Fishing King 3/10",,$20.00,,,,,,,20.00,$20.00,,,,,,,,,,$20.00,,$20.00,,,,"0.00 %",,,,,2,,,No
,,"Fishing King 10 P.","Return Tickets",0125,"Fishing King 2/10",,$1.00,,,,,,,1.00,$1.00,,,,,,,,,,$1.00,$8.00,$9.00,,,,"0.00 %",,,,,1,,,No
,,"Fishing King 10 P.","Return Tickets",0127,"Fishing King 10/10",,$10.00,,,,,,,10.00,$10.00,,,,,,,,,,$10.00,,$10.00,,,,"0.00 %",,,,,1,,,No
,,"Fishing King 10 P.","Return Tickets",0129,"Fishing King 4/10",,$30.00,,,,,,,30.00,$30.00,,,,,,,,,,$30.00,,$30.00,,,,"0.00 %",,,,,3,,,No
,,"Fishing King 10 P.","Return Tickets",0131,"Fishing King 6/10",,$19.00,,,,103.16,,,19.00,$19.00,,,,,,,,,,$19.00,,$19.00,,1960,,"0.00 %",,,,,2,,,No
,,"Fishing King 10 P.","Return Tickets",0152,"Fishing King 8/10",,$19.00,,,,,,,19.00,$19.00,,,,,,,,,,$19.00,,$19.00,,,,"0.00 %",,,,,2,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,$99.00,0.00,,,,,,99.00,$99.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$99.00,$8.00,$107.00,0,1960,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Gun Bullet X ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Gun Bullet X","Return Tickets",0171,"Gun Bullet X 1",,$36.00,,,,,,,36.00,$36.00,,,,,,,,,,$36.00,,$36.00,,,,"0.00 %",,,,,4,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,$36.00,0.00,,,,,,36.00,$36.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$36.00,$0.00,$36.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Hero Crane ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Hero Crane","Prize Machine",0150,"Hero Crane 2",,$48.00,,,,,,48.00,48.00,$48.00,,,,,,,,,,$48.00,,$48.00,,,1,"0.00 %",,,,,5,,,No
,,"Hero Crane","Prize Machine",0185,"Hero Crane 1",,$40.00,,,,,,,40.00,$40.00,,,,,,,,,,$40.00,,$40.00,,,,"0.00 %",,,,,4,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,$88.00,0.00,,,,,,88.00,$88.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$88.00,$0.00,$88.00,0,0,1,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Hocky 2000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Hocky 2000","Return Tickets",0157,"Hocky L 1.1",,$96.00,,,,29.09,,,96.00,$96.00,,,,,,,,,,$96.00,,$96.00,,2793,,"0.00 %",,,,,10,,,No
,,"Hocky 2000","Return Tickets",0158,"Hocky L 1.2",,$174.00,,,,16.05,,,174.00,$174.00,,,,,,,,,,$174.00,,$174.00,,2793,,"0.00 %",,,,,18,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
