"HAHAMA-RBS5
Games data summary
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
region,,"Device Type","Controller usage","Equipment LOGO","Device name",,Profit,"Consumption amount","Out gift amount","Gift rate","Ticket rate","Single Coin ticketing rate","Win rate","Gross profit",Revenue,"Divided into","Token A",,"Token B",,Token,,"WeChat PAY",ALIPAY,E-Cash,,,Ticket,e-Ticket,"Number of gifts","Profit ratio",Times,"Machine Qty","Average Token A","Average Token B","Play times",Notes,Partner,"Is test data"
,,,,,,,,,,,,,,,,,"Token In","Token Out","Token In","Token B Refund","Token In","Token Out",,,Principal,Bonus,"Total revenue",,,,,,,,,,,,
"Device Type: 42-Inch Crocodile Battle ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Bingo Car ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Bingo Car","Game machine",009e,"Bingo Car 1",,,$400.00,,,,,,400.00,$400.00,,,,,,,,,,$400.00,,$400.00,,,,"0.00 %",,,,,21,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$400.00,0.00,,,,,400.00,$400.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$400.00,$0.00,$400.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Bishi Bhashi ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Bishi Bhashi","Game machine",0079,"Bishi Bhashi 1",,,$114.00,,,,,,114.00,$114.00,,,,,,,,,,$114.00,,$114.00,,,,"0.00 %",,,,,6,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$114.00,0.00,,,,,114.00,$114.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$114.00,$0.00,$114.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Crazy Monster ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Crazy Monster","Game machine",007d,"Crazy Monster 1",,,$302.00,,,,,,302.00,$302.00,,,,,,,,,,$302.00,,$302.00,,,,"0.00 %",,,,,16,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$302.00,0.00,,,,,302.00,$302.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$302.00,$0.00,$302.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Cyclone  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Cyclone ","Game machine",008b,"Cyclone 1",,,$112.00,,,,,,112.00,$112.00,,,,,,,,,,$112.00,,$112.00,,,,"0.00 %",,,,,12,,,No
,,"Cyclone ","Game machine",008c,"Cyclone 2",,,$182.00,,,,,,182.00,$182.00,,,,,,,,,,$182.00,$9.00,$191.00,,,,"0.00 %",,,,,20,,,No
,,"Cyclone ","Game machine",008d,"Cyclone 3",,,$246.00,,,,,,246.00,$246.00,,,,,,,,,,$246.00,$27.00,$273.00,,,,"0.00 %",,,,,30,,,No
,,"Cyclone ","Game machine",008e,"Cyclone 4",,,$595.00,,,,,,595.00,$595.00,,,,,,,,,,$595.00,$18.00,$613.00,,,,"0.00 %",,,,,65,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,"$1,135.00",0.00,,,,,"1,135.00","$1,135.00",$0.00,0,0,0,0,0,0,$0.00,$0.00,"$1,135.00",$54.00,"$1,189.00",0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Danz Base ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Danz Base","Game machine",0076,"Danz Base",,,$264.00,,,,,,264.00,$264.00,,,,,,,,,,$264.00,,$264.00,,,,"0.00 %",,,,,14,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$264.00,0.00,,,,,264.00,$264.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$264.00,$0.00,$264.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Dead Storm Pirate ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Dead Storm Pirate","Game machine",0064,"Dead Storm Pirate-DX 1",,,$288.00,,,,,,288.00,$288.00,,,,,,,,,,$288.00,,$288.00,,,,"0.00 %",,,,,10,,,No
,,"Dead Storm Pirate","Game machine",0065,"Dead Strom Pirate Upright 1",,,$94.00,,,,,,94.00,$94.00,,,,,,,,,,$94.00,,$94.00,,,,"0.00 %",,,,,5,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$382.00,0.00,,,,,382.00,$382.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$382.00,$0.00,$382.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Deep Sea Drive ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Deep Sea Drive","Game machine",0121,"Deep Sea Drive 1",,,$132.00,,,,,,132.00,$132.00,,,,,,,,,,$132.00,,$132.00,,,,"0.00 %",,,,,7,,,No
,,"Deep Sea Drive","Game machine",0122,"Deep Sea Drive 2",,,$94.00,,,,,,94.00,$94.00,,,,,,,,,,$94.00,,$94.00,,,,"0.00 %",,,,,5,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$226.00,0.00,,,,,226.00,$226.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$226.00,$0.00,$226.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Dragon Hunter ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Dragon Hunter","Return Tickets",0022,"Dragon Hunter-Ball 1.1",,,$260.00,,,30.54,,,260.00,$260.00,,,,,,,,,,$260.00,,$260.00,,7940,,"0.00 %",,,,,14,,,No
,,"Dragon Hunter","Return Tickets",0023,"Dragon Hunter-Ball 1.2",,,$242.00,,,33.06,,,242.00,$242.00,,,,,,,,,,$242.00,,$242.00,,8000,,"0.00 %",,,,,13,,,No
,,"Dragon Hunter","Return Tickets",0024,"Dragon Hunter-Water 1.1",,,$238.00,,,46.09,,,238.00,$238.00,,,,,,,,,,$238.00,,$238.00,,10970,,"0.00 %",,,,,13,,,No
,,"Dragon Hunter","Return Tickets",0025,"Dragon Hunter-Water 1.2",,,$220.00,,,34.64,,,220.00,$220.00,,,,,,,,,,$220.00,,$220.00,,7620,,"0.00 %",,,,,12,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$960.00,0.00,,,,,960.00,$960.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$960.00,$0.00,$960.00,0,34530,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Dragon Punch ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Dragon Punch","Game machine",004d,"Dragon Punch 1",,,$365.00,,,,,,365.00,$365.00,,,,,,,,,,$365.00,,$365.00,,,,"0.00 %",,,,,39,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$365.00,0.00,,,,,365.00,$365.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$365.00,$0.00,$365.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Drop A Prize ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Drop A Prize","Game machine",007b,"Drop A Prize 1",,,"$2,334.00",,,,,,"2,334.00","$2,334.00",,,,,,,,,,"$2,334.00",$18.00,"$2,352.00",,,,"0.00 %",,,,,124,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,"$2,334.00",0.00,,,,,"2,334.00","$2,334.00",$0.00,0,0,0,0,0,0,$0.00,$0.00,"$2,334.00",$18.00,"$2,352.00",0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Fishing King 10P ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Fishing King 10P","Return Tickets",0032,"Fishing King 10P 1",,,$10.00,,,,,,10.00,$10.00,,,,,,,,,,$10.00,,$10.00,,,,"0.00 %",,,,,1,,,No
,,"Fishing King 10P","Return Tickets",0033,"Fishing King 10P 2",,,$9.00,,,,,,9.00,$9.00,,,,,,,,,,$9.00,,$9.00,,,,"0.00 %",,,,,1,,,No
,,"Fishing King 10P","Return Tickets",0035,"Fishing King 10P 4",,,$37.00,,,5.41,,,37.00,$37.00,,,,,,,,,,$37.00,,$37.00,,200,,"0.00 %",,,,,4,,,No
,,"Fishing King 10P","Return Tickets",0036,"Fishing King 10P 5",,,$75.00,,,,,,75.00,$75.00,,,,,,,,,,$75.00,,$75.00,,,,"0.00 %",,,,,8,,,No
,,"Fishing King 10P","Return Tickets",0037,"Fishing King 10P 6",,,$29.00,,,,,,29.00,$29.00,,,,,,,,,,$29.00,,$29.00,,,,"0.00 %",,,,,3,,,No
,,"Fishing King 10P","Return Tickets",0038,"Fishing King 10P 7",,,$37.00,,,,,,37.00,$37.00,,,,,,,,,,$37.00,,$37.00,,,,"0.00 %",,,,,4,,,No
,,"Fishing King 10P","Return Tickets",0039,"Fishing King 10P 8",,,$66.00,,,,,,66.00,$66.00,,,,,,,,,,$66.00,,$66.00,,,,"0.00 %",,,,,7,,,No
,,"Fishing King 10P","Return Tickets",003a,"Fishing King 10P 9",,,$76.00,,,,,,76.00,$76.00,,,,,,,,,,$76.00,,$76.00,,,,"0.00 %",,,,,8,,,No
,,"Fishing King 10P","Return Tickets",003b,"Fishing King 10P 10",,,$116.00,,,,,,116.00,$116.00,,,,,,,,,,$116.00,,$116.00,,,,"0.00 %",,,,,12,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$455.00,0.00,,,,,455.00,$455.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$455.00,$0.00,$455.00,0,200,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Funy Claw ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Funy Claw","Game machine",0080,"Funy Claw 2",,,$476.00,,,,,,476.00,$476.00,,,,,,,,,,$476.00,$9.00,$485.00,,,,"0.00 %",,,,,52,,,No
,,"Funy Claw","Game machine",0081,"Funy Claw 3",,,"$1,474.00",,,,,,"1,474.00","$1,474.00",,,,,,,,,,"$1,474.00",$54.00,"$1,528.00",,,,"0.00 %",,,,,161,,,No
,,"Funy Claw","Game machine",0082,"Funy Claw 4",,,$559.00,,,,,,559.00,$559.00,,,,,,,,,,$559.00,,$559.00,,,,"0.00 %",,,,,57,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,"$2,509.00",0.00,,,,,"2,509.00","$2,509.00",$0.00,0,0,0,0,0,0,$0.00,$0.00,"$2,509.00",$63.00,"$2,572.00",0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Gemstone Mine ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Gemstone Mine","Return Tickets",002d,"Gemstone Mine 1",,,$152.00,,,,,,152.00,$152.00,,,,,,,,,,$152.00,,$152.00,,,,"0.00 %",,,,,8,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$152.00,0.00,,,,,152.00,$152.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$152.00,$0.00,$152.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Hero Crane ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Hero Crane","Game machine",0089,"Hero Crane 1",,,$272.00,,,,,,272.00,$272.00,,,,,,,,,,$272.00,,$272.00,,,,"0.00 %",,,,,29,,,No
,,"Hero Crane","Game machine",008a,"Hero Crane 2",,,$249.00,,,,,,249.00,$249.00,,,,,,,,,,$249.00,,$249.00,,,,"0.00 %",,,,,26,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$521.00,0.00,,,,,521.00,$521.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$521.00,$0.00,$521.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Hit The Smash ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Hit The Smash","Return Tickets",0029,"Hit The Smash 1",,,$838.00,,,,,,838.00,$838.00,,,,,,,,,,$838.00,,$838.00,,,,"0.00 %",,,,,45,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$838.00,0.00,,,,,838.00,$838.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$838.00,$0.00,$838.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: House Of The Dead ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"House Of The Dead","Game machine",0071,"House Of The Dead 1",,,$516.00,,,,,,516.00,$516.00,,,,,,,,,,$516.00,,$516.00,,,,"0.00 %",,,,,18,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
