"HAHAMA-RBS5
Games data summary
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
region,,"Device Type","Controller usage","Equipment LOGO","Device name",,Profit,"Consumption amount","Out gift amount","Gift rate","Ticket rate","Single Coin ticketing rate","Win rate","Gross profit",Revenue,"Divided into","Token A",,"Token B",,Token,,"WeChat PAY",ALIPAY,E-Cash,,,Ticket,e-Ticket,"Number of gifts","Profit ratio",Times,"Machine Qty","Average Token A","Average Token B","Play times",Notes,Partner,"Is test data"
,,,,,,,,,,,,,,,,,"Token In","Token Out","Token In","Token B Refund","Token In","Token Out",,,Principal,Bonus,"Total revenue",,,,,,,,,,,,
"Device Type: 42-Inch Crocodile Battle ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Mini Mario","Game machine",009a,"Mini Mario 2",,,$219.00,,,,,,219.00,$219.00,,,,,,,,,,$219.00,,$219.00,,,,"0.00 %",,,,,23,,,No
,,"Mini Mario","Game machine",009b,"Mini Mario 3",,,$172.00,,,,,,172.00,$172.00,,,,,,,,,,$172.00,,$172.00,,,,"0.00 %",,,,,18,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$482.00,0.00,,,,,482.00,$482.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$482.00,$0.00,$482.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Mini Twin ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Mini Twin","Game machine",0093,"Mini Twin 1.1",,,$67.00,,,,,,67.00,$67.00,,,,,,,,,,$67.00,,$67.00,,,,"0.00 %",,,,,7,,,No
,,"Mini Twin","Game machine",0094,"Mini Twin 1.2",,,$176.00,,,,,,176.00,$176.00,,,,,,,,,,$176.00,,$176.00,,,,"0.00 %",,,,,19,,,No
,,"Mini Twin","Game machine",0095,"Mini Twin 2.1",,,$270.00,,,,,,270.00,$270.00,,,,,,,,,,$270.00,,$270.00,,,,"0.00 %",,,,,29,,,No
,,"Mini Twin","Game machine",0096,"Mini Twin 2.2",,,$472.00,,,,,,472.00,$472.00,,,,,,,,,,$472.00,,$472.00,,,,"0.00 %",,,,,51,,,No
,,"Mini Twin","Game machine",0097,"Mini Twin 3.1",,,$226.00,,,,,,226.00,$226.00,,,,,,,,,,$226.00,,$226.00,,,,"0.00 %",,,,,24,,,No
,,"Mini Twin","Game machine",0098,"Mini Twin 3.2",,,$542.00,,,,,,542.00,$542.00,,,,,,,,,,$542.00,,$542.00,,,,"0.00 %",,,,,56,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,"$1,753.00",0.00,,,,,"1,753.00","$1,753.00",$0.00,0,0,0,0,0,0,$0.00,$0.00,"$1,753.00",$0.00,"$1,753.00",0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Motor Boat ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Motor Boat","Game machine",009d,"Motor Boat 1",,,$190.00,,,,,,190.00,$190.00,,,,,,,,,,$190.00,,$190.00,,,,"0.00 %",,,,,10,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$190.00,0.00,,,,,190.00,$190.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$190.00,$0.00,$190.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Naughty Beans ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Naughty Beans","Return Tickets",0047,"Naughty Beans 1",,,$208.00,,,,,,208.00,$208.00,,,,,,,,,,$208.00,,$208.00,,,,"0.00 %",,,,,11,,,No
,,"Naughty Beans","Return Tickets",0048,"Naughty Beans 2",,,$170.00,,,10.29,,,170.00,$170.00,,,,,,,,,,$170.00,,$170.00,,1750,,"0.00 %",,,,,9,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$378.00,0.00,,,,,378.00,$378.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$378.00,$0.00,$378.00,0,1750,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Night Hunter ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Night Hunter","Game machine",0066,"Night Hunter",,,$279.00,,,,,,279.00,$279.00,,,,,,,,,,$279.00,,$279.00,,,,"0.00 %",,,,,10,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$279.00,0.00,,,,,279.00,$279.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$279.00,$0.00,$279.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Percussion Master ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Percussion Master","Game machine",007a,"Percussion Master 3 1",,,$268.00,,,,,,268.00,$268.00,,,,,,,,,,$268.00,,$268.00,,,,"0.00 %",,,,,14,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$268.00,0.00,,,,,268.00,$268.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$268.00,$0.00,$268.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Pump It Up ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Pump It Up","Game machine",0077,"Pump It Up-CX 1",,,$396.00,,,,,,396.00,$396.00,,,,,,,,,,$396.00,,$396.00,,,,"0.00 %",,,,,14,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$396.00,0.00,,,,,396.00,$396.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$396.00,$0.00,$396.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Q-Crane ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q-Crane,"Game machine",008f,"Q-Crane 1",,,$113.00,,,,,,113.00,$113.00,,,,,,,,,,$113.00,,$113.00,,,,"0.00 %",,,,,12,,,No
,,Q-Crane,"Game machine",0090,"Q-Crane 2",,,$133.00,,,,,,133.00,$133.00,,,,,,,,,,$133.00,,$133.00,,,,"0.00 %",,,,,14,,,No
,,Q-Crane,"Game machine",0091,"Q-Crane 3",,,$228.00,,,,,,228.00,$228.00,,,,,,,,,,$228.00,,$228.00,,,,"0.00 %",,,,,24,,,No
,,Q-Crane,"Game machine",0092,"Q-Crane 4",,,$567.00,,,,,,567.00,$567.00,,,,,,,,,,$567.00,,$567.00,,,,"0.00 %",,,,,59,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,"$1,041.00",0.00,,,,,"1,041.00","$1,041.00",$0.00,0,0,0,0,0,0,$0.00,$0.00,"$1,041.00",$0.00,"$1,041.00",0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Rabbids Hollywood ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Rabbids Hollywood","Return Tickets",0068,"Rabbids Hollywood 1.1",,,$72.00,,,,,,72.00,$72.00,,,,,,,,,,$72.00,,$72.00,,,,"0.00 %",,,,,4,,,No
,,"Rabbids Hollywood","Return Tickets",0069,"Rabbids Hollywood 1.2",,,$94.00,,,,,,94.00,$94.00,,,,,,,,,,$94.00,,$94.00,,,,"0.00 %",,,,,5,,,No
,,"Rabbids Hollywood","Return Tickets",006a,"Rabbids Hollywood 1.3",,,$96.00,,,,,,96.00,$96.00,,,,,,,,,,$96.00,,$96.00,,,,"0.00 %",,,,,5,,,No
,,"Rabbids Hollywood","Return Tickets",006b,"Rabbids Hollywood 1.4",,,$38.00,,,,,,38.00,$38.00,,,,,,,,,,$38.00,,$38.00,,,,"0.00 %",,,,,2,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$300.00,0.00,,,,,300.00,$300.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$300.00,$0.00,$300.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Rainbow Crane ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Rainbow Crane","Game machine",0087,"Rainbow Crane 1",,,$85.00,,,,,,85.00,$85.00,,,,,,,,,,$85.00,,$85.00,,,,"0.00 %",,,,,9,,,No
,,"Rainbow Crane","Game machine",0088,"Rainbow Crane 2",,,$535.00,,,,,,535.00,$535.00,,,,,,,,,,$535.00,$9.00,$544.00,,,,"0.00 %",,,,,58,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$620.00,0.00,,,,,620.00,$620.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$620.00,$9.00,$629.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Sea Monster ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Sea Monster","Game machine",002b,"Sea Monster 1.1",,,$208.00,,,,,,208.00,$208.00,,,,,,,,,,$208.00,$36.00,$244.00,,,,"0.00 %",,,,,13,,,No
,,"Sea Monster","Game machine",002c,"Sea Monster 1.2",,,$166.00,,,,,,166.00,$166.00,,,,,,,,,,$166.00,$18.00,$184.00,,,,"0.00 %",,,,,10,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$374.00,0.00,,,,,374.00,$374.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$374.00,$54.00,$428.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Storm Rider MT ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Storm Rider MT","Game machine",0061,"Storm Rider MT 1",,,$360.00,,,,,,360.00,$360.00,,,,,,,,,,$360.00,,$360.00,,,,"0.00 %",,,,,19,,,No
,,"Storm Rider MT","Game machine",0062,"Storm Rider MT 2",,,$364.00,,,,,,364.00,$364.00,,,,,,,,,,$364.00,,$364.00,,,,"0.00 %",,,,,19,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$724.00,0.00,,,,,724.00,$724.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$724.00,$0.00,$724.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Submarine Rescue ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Submarine Rescue","Return Tickets",0026,"SubMarine 1",,,$322.00,,,,,,322.00,$322.00,,,,,,,,,,$322.00,,$322.00,,,,"0.00 %",,,,,17,,,No
,,"Submarine Rescue","Return Tickets",0027,"SubMarine 2",,,$398.00,,,,,,398.00,$398.00,,,,,,,,,,$398.00,,$398.00,,,,"0.00 %",,,,,21,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$720.00,0.00,,,,,720.00,$720.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$720.00,$0.00,$720.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: The Walking Dead ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"The Walking Dead","Game machine",0067,"The Walking Dead 1",,,$711.00,,,,,,711.00,$711.00,,,,,,,,,,$711.00,,$711.00,,,,"0.00 %",,,,,26,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$711.00,0.00,,,,,711.00,$711.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$711.00,$0.00,$711.00,0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Tomb Raider ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Tomb Raider","Game machine",006c,"Tomb Raider 1.1",,,$198.00,,,,,,198.00,$198.00,,,,,,,,,,$198.00,,$198.00,,,,"0.00 %",,,,,7,,,No
,,"Tomb Raider","Game machine",006d,"Tomb Raider 1.2",,,$417.00,,,,,,417.00,$417.00,,,,,,,,,,$417.00,,$417.00,,,,"0.00 %",,,,,15,,,No
,,"Tomb Raider","Game machine",006e,"Tomb Raider 1.3",,,$330.00,,,,,,330.00,$330.00,,,,,,,,,,$330.00,,$330.00,,,,"0.00 %",,,,,12,,,No
,,"Tomb Raider","Game machine",006f,"Tomb Raider 1.4",,,$84.00,,,,,,84.00,$84.00,,,,,,,,,,$84.00,,$84.00,,,,"0.00 %",,,,,3,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,"$1,029.00",0.00,,,,,"1,029.00","$1,029.00",$0.00,0,0,0,0,0,0,$0.00,$0.00,"$1,029.00",$0.00,"$1,029.00",0,0,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Device Type: Vegetables Fruit ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Vegetables Fruit","Return Tickets",0042,"Vegetables Fruit 1.1",,,$45.00,,,402.00,,,45.00,$45.00,,,,,,,,,,$45.00,,$45.00,,18090,,"0.00 %",,,,,5,,,No
,,"Vegetables Fruit","Return Tickets",0043,"Vegetables Fruit 1.2",,,$56.00,,,158.93,,,56.00,$56.00,,,,,,,,,,$56.00,,$56.00,,8900,,"0.00 %",,,,,6,,,No
,,"Vegetables Fruit","Return Tickets",0044,"Vegetables Fruit 1.3",,,$49.00,,,177.55,,,49.00,$49.00,,,,,,,,,,$49.00,,$49.00,,8700,,"0.00 %",,,,,5,,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,$150.00,0.00,,,,,150.00,$150.00,$0.00,0,0,0,0,0,0,$0.00,$0.00,$150.00,$0.00,$150.00,0,35690,0,"0.0000 %",0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,0,"$29,401.00",0.00,"0.00 %",2.45,0.00,0.00,"29,401.00","$29,401.00",$0.00,0,0,0,0,0,0,$0.00,$0.00,"$29,401.00",$234.00,"$29,635.00",0,72170,0,"0.00 %",0,,,,2148,,,
