"AmbientPOS Export (Cash Drawer)"
"Export Branch",619
"Data From",19/05/2019,00:00:00
"Data to",19/05/2019,23:59:58


,Date,Time,Title,Method,Send,Cash-In,Cash-Out,POS,Staff,Remark
,2019-05-19,16:03:49,1905190061910130,POS,0.00,0.00,0.00,120.00,cashier," "
,2019-05-19,16:03:49,1905190061910130,POS,0.00,0.00,0.00,85.00,cashier," "
,2019-05-19,16:03:49,1905190061910130,POS,0.00,0.00,0.00,150.00,cashier," "
,2019-05-19,16:03:49,1905190061910130,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,16:03:49,1905190061910130,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,16:03:49,1905190061910130,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,15:58:22,1905190061910129,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,15:42:38,1905190061910127,POS,0.00,0.00,0.00,-5.00,cashier," "
,2019-05-19,15:42:38,1905190061910127,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,15:41:02,1905190061910126,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,15:41:02,1905190061910126,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,15:35:42,1905190061910125,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,15:35:20,1905190061910124,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,15:29:46,1905190061910123,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,15:25:35,1905190061910122,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,15:24:27,1905190061910121,POS,0.00,0.00,0.00,75.00,cashier," "
,2019-05-19,15:22:45,น้ำแข็ง,"Cash Out",0.00,0.00,120.00,0.00,cashier,สันทราย
,2019-05-19,14:55:46,1905190061910120,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,14:53:21,1905190061910119,POS,0.00,0.00,0.00,130.00,cashier," "
,2019-05-19,14:37:15,1905190061910118,POS,0.00,0.00,0.00,170.00,cashier," "
,2019-05-19,14:27:31,1905190061910117,POS,0.00,0.00,0.00,110.00,cashier," "
,2019-05-19,14:27:31,1905190061910117,POS,0.00,0.00,0.00,-10.00,cashier," "
,2019-05-19,14:26:53,1905190061910116,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,14:25:25,1905190061910115,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,14:25:25,1905190061910115,POS,0.00,0.00,0.00,-5.00,cashier," "
,2019-05-19,14:25:04,1905190061910114,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,14:18:28,1905190061910112,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,14:15:26,1905190061910111,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,14:14:44,1905190061910110,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,14:14:44,1905190061910110,POS,0.00,0.00,0.00,20.00,cashier," "
,2019-05-19,14:12:02,1905190061910109,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,14:05:56,1905190061910108,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,14:05:56,1905190061910108,POS,0.00,0.00,0.00,-5.00,cashier," "
,2019-05-19,14:03:03,1905190061910107,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,14:02:39,1905190061910106,POS,0.00,0.00,0.00,45.00,cashier," "
,2019-05-19,14:01:46,1905190061910105,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,14:01:46,1905190061910105,POS,0.00,0.00,0.00,50.00,cashier," "
,2019-05-19,14:01:46,1905190061910105,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,14:01:46,1905190061910105,POS,0.00,0.00,0.00,70.00,cashier," "
,2019-05-19,14:01:46,1905190061910105,POS,0.00,0.00,0.00,45.00,cashier," "
,2019-05-19,13:39:46,1905190061910104,POS,0.00,0.00,0.00,-5.00,cashier," "
,2019-05-19,13:39:46,1905190061910104,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,13:36:55,1905190061910103,POS,0.00,0.00,0.00,-10.00,cashier," "
,2019-05-19,13:36:55,1905190061910103,POS,0.00,0.00,0.00,50.00,cashier," "
,2019-05-19,13:36:55,1905190061910103,POS,0.00,0.00,0.00,70.00,cashier," "
,2019-05-19,13:30:59,1905190061910102,POS,0.00,0.00,0.00,50.00,cashier," "
,2019-05-19,13:30:59,1905190061910102,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,13:30:24,1905190061910101,POS,0.00,0.00,0.00,85.00,cashier," "
,2019-05-19,13:30:24,1905190061910101,POS,0.00,0.00,0.00,50.00,cashier," "
,2019-05-19,13:30:24,1905190061910101,POS,0.00,0.00,0.00,130.00,cashier," "
,2019-05-19,13:30:24,1905190061910101,POS,0.00,0.00,0.00,-10.00,cashier," "
,2019-05-19,13:30:24,1905190061910101,POS,0.00,0.00,0.00,100.00,cashier," "
,2019-05-19,13:22:26,1905190061910100,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,13:22:26,1905190061910100,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,13:19:17,1905190061910099,POS,0.00,0.00,0.00,-5.00,cashier," "
,2019-05-19,13:19:17,1905190061910099,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,13:18:16,1905190061910098,POS,0.00,0.00,0.00,90.00,cashier," "
,2019-05-19,13:18:16,1905190061910098,POS,0.00,0.00,0.00,100.00,cashier," "
,2019-05-19,13:18:16,1905190061910098,POS,0.00,0.00,0.00,75.00,cashier," "
,2019-05-19,13:16:51,1905190061910097,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,13:11:20,1905190061910096,POS,0.00,0.00,0.00,130.00,cashier," "
,2019-05-19,13:08:20,1905190061910095,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,13:08:20,1905190061910095,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,13:08:00,1905190061910094,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,13:07:19,1905190061910093,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,13:07:19,1905190061910093,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,13:06:33,1905190061910092,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,13:00:16,1905190061910091,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,13:00:16,1905190061910091,POS,0.00,0.00,0.00,85.00,cashier," "
,2019-05-19,12:52:21,1905190061910090,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,12:52:21,1905190061910090,POS,0.00,0.00,0.00,-5.00,cashier," "
,2019-05-19,12:51:31,1905190061910089,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,12:50:21,1905190061910088,POS,0.00,0.00,0.00,-5.00,cashier," "
,2019-05-19,12:50:21,1905190061910088,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,12:49:48,1905190061910087,POS,0.00,0.00,0.00,90.00,cashier," "
,2019-05-19,12:45:10,1905190061910086,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,12:43:53,1905190061910085,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,12:43:53,1905190061910085,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,12:34:32,1905190061910084,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,12:34:32,1905190061910084,POS,0.00,0.00,0.00,-5.00,cashier," "
,2019-05-19,12:33:56,1905190061910083,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,12:32:04,1905190061910082,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,12:32:04,1905190061910082,POS,0.00,0.00,0.00,85.00,cashier," "
,2019-05-19,12:32:04,1905190061910082,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,12:26:34,1905190061910081,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,12:26:34,1905190061910081,POS,0.00,0.00,0.00,-5.00,cashier," "
,2019-05-19,12:24:25,1905190061910080,POS,0.00,0.00,0.00,120.00,cashier," "
,2019-05-19,12:17:33,1905190061910079,POS,0.00,0.00,0.00,-10.00,cashier," "
,2019-05-19,12:17:33,1905190061910079,POS,0.00,0.00,0.00,120.00,cashier," "
,2019-05-19,12:17:33,1905190061910079,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,12:16:04,1905190061910078,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,12:16:04,1905190061910078,POS,0.00,0.00,0.00,50.00,cashier," "
,2019-05-19,12:15:26,1905190061910077,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,12:13:36,1905190061910076,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,12:03:29,1905190061910075,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,11:51:05,1905190061910074,POS,0.00,0.00,0.00,65.00,cashier," "
