"AmbientPOS Export (Cash Drawer)"
"Export Branch",241
"Data From",09/05/2019,00:00:00
"Data to",09/05/2019,23:59:58


,Date,Time,Title,Method,Send,Cash-In,Cash-Out,POS,Staff,Remark
,2019-05-09,18:48:19,1905090024100081,POS,0.00,0.00,0.00,"1,255.00",admin," "
,2019-05-09,18:48:19,1905090024100081,POS,0.00,0.00,0.00,50.00,admin," "
,2019-05-09,18:48:19,1905090024100081,POS,0.00,0.00,0.00,45.00,admin," "
,2019-05-09,18:48:19,1905090024100081,POS,0.00,0.00,0.00,45.00,admin," "
,2019-05-09,18:48:19,1905090024100081,POS,0.00,0.00,0.00,35.00,admin," "
,2019-05-09,18:48:19,1905090024100081,POS,0.00,0.00,0.00,90.00,admin," "
,2019-05-09,18:48:19,1905090024100081,POS,0.00,0.00,0.00,70.00,admin," "
,2019-05-09,17:39:33,1905090024100080,POS,0.00,0.00,0.00,50.00,admin," "
,2019-05-09,16:46:01,1905090024100079,POS,0.00,0.00,0.00,110.00,admin," "
,2019-05-09,16:46:01,1905090024100079,POS,0.00,0.00,0.00,65.00,admin," "
,2019-05-09,16:20:42,1905090024100078,POS,0.00,0.00,0.00,165.00,admin," "
,2019-05-09,16:20:42,1905090024100078,POS,0.00,0.00,0.00,40.00,admin," "
,2019-05-09,15:46:16,1905090024100077,POS,0.00,0.00,0.00,50.00,admin," "
,2019-05-09,15:46:16,1905090024100077,POS,0.00,0.00,0.00,45.00,admin," "
,2019-05-09,15:32:16,1905090024100076,POS,0.00,0.00,0.00,50.00,admin," "
,2019-05-09,15:30:45,1905090024100075,POS,0.00,0.00,0.00,80.00,admin," "
,2019-05-09,15:15:52,1905090024100074,POS,0.00,0.00,0.00,55.00,admin," "
,2019-05-09,15:15:52,1905090024100074,POS,0.00,0.00,0.00,40.00,admin," "
,2019-05-09,15:02:00,1905090024100073,POS,0.00,0.00,0.00,55.00,admin," "
,2019-05-09,14:56:57,1905090024100072,POS,0.00,0.00,0.00,40.00,admin," "
,2019-05-09,14:47:30,1905090024100071,POS,0.00,0.00,0.00,50.00,admin," "
,2019-05-09,14:38:51,1905090024100070,POS,0.00,0.00,0.00,50.00,admin," "
,2019-05-09,14:38:51,1905090024100070,POS,0.00,0.00,0.00,55.00,admin," "
,2019-05-09,14:38:51,1905090024100070,POS,0.00,0.00,0.00,130.00,admin," "
,2019-05-09,14:38:51,1905090024100070,POS,0.00,0.00,0.00,40.00,admin," "
,2019-05-09,14:10:43,1905090024100069,POS,0.00,0.00,0.00,40.00,admin," "
,2019-05-09,14:06:50,1905090024100068,POS,0.00,0.00,0.00,50.00,admin," "
,2019-05-09,14:05:31,1905090024100067,POS,0.00,0.00,0.00,40.00,admin," "
,2019-05-09,14:02:00,1905090024100066,POS,0.00,0.00,0.00,40.00,admin," "
,2019-05-09,13:49:46,1905090024100065,POS,0.00,0.00,0.00,55.00,admin," "
,2019-05-09,13:43:31,1905090024100064,POS,0.00,0.00,0.00,40.00,admin," "
,2019-05-09,13:40:00,1905090024100063,POS,0.00,0.00,0.00,50.00,admin," "
,2019-05-09,13:39:20,1905090024100062,POS,0.00,0.00,0.00,90.00,admin," "
,2019-05-09,13:39:20,1905090024100062,POS,0.00,0.00,0.00,50.00,admin," "
,2019-05-09,13:39:20,1905090024100062,POS,0.00,0.00,0.00,45.00,admin," "
,2019-05-09,13:39:20,1905090024100062,POS,0.00,0.00,0.00,260.00,admin," "
,2019-05-09,13:12:18,1905090024100061,POS,0.00,0.00,0.00,50.00,admin," "
,2019-05-09,13:12:18,1905090024100061,POS,0.00,0.00,0.00,50.00,admin," "
,2019-05-09,13:04:09,1905090024100060,POS,0.00,0.00,0.00,80.00,admin," "
,2019-05-09,12:55:03,1905090024100059,POS,0.00,0.00,0.00,40.00,admin," "
,2019-05-09,12:54:02,1905090024100058,POS,0.00,0.00,0.00,80.00,admin," "
,2019-05-09,12:49:26,1905090024100057,POS,0.00,0.00,0.00,80.00,admin," "
,2019-05-09,12:49:00,1905090024100056,POS,0.00,0.00,0.00,135.00,admin," "
,2019-05-09,12:49:00,1905090024100056,POS,0.00,0.00,0.00,35.00,admin," "
,2019-05-09,12:49:00,1905090024100056,POS,0.00,0.00,0.00,45.00,admin," "
,2019-05-09,12:49:00,1905090024100056,POS,0.00,0.00,0.00,45.00,admin," "
,2019-05-09,12:43:40,1905090024100055,POS,0.00,0.00,0.00,80.00,admin," "
,2019-05-09,12:36:18,1905090024100054,POS,0.00,0.00,0.00,45.00,admin," "
,2019-05-09,12:36:18,1905090024100054,POS,0.00,0.00,0.00,40.00,admin," "
,2019-05-09,12:28:29,1905090024100053,POS,0.00,0.00,0.00,45.00,admin," "
,2019-05-09,12:22:26,1905090024100052,POS,0.00,0.00,0.00,40.00,admin," "
,2019-05-09,12:13:13,1905090024100051,POS,0.00,0.00,0.00,55.00,admin," "
,2019-05-09,12:09:52,1905090024100050,POS,0.00,0.00,0.00,55.00,admin," "
,2019-05-09,12:00:05,1905090024100049,POS,0.00,0.00,0.00,15.00,admin," "
,2019-05-09,11:57:40,1905090024100048,POS,0.00,0.00,0.00,55.00,admin," "
,2019-05-09,11:55:32,1905090024100047,POS,0.00,0.00,0.00,40.00,admin," "
,2019-05-09,11:52:55,1905090024100046,POS,0.00,0.00,0.00,80.00,admin," "
,2019-05-09,11:43:43,1905090024100045,POS,0.00,0.00,0.00,50.00,admin," "
,2019-05-09,11:39:03,1905090024100044,POS,0.00,0.00,0.00,40.00,admin," "
,2019-05-09,11:36:06,1905090024100043,POS,0.00,0.00,0.00,35.00,admin," "
,2019-05-09,11:30:39,1905090024100042,POS,0.00,0.00,0.00,50.00,admin," "
,2019-05-09,11:28:47,1905090024100041,POS,0.00,0.00,0.00,50.00,admin," "
,2019-05-09,11:28:27,1905090024100040,POS,0.00,0.00,0.00,45.00,admin," "
,2019-05-09,11:26:59,1905090024100039,POS,0.00,0.00,0.00,50.00,admin," "
,2019-05-09,11:23:41,1905090024100038,POS,0.00,0.00,0.00,150.00,admin," "
,2019-05-09,11:22:43,1905090024100037,POS,0.00,0.00,0.00,40.00,admin," "
,2019-05-09,11:19:56,1905090024100036,POS,0.00,0.00,0.00,40.00,admin," "
,2019-05-09,11:17:25,1905090024100035,POS,0.00,0.00,0.00,40.00,admin," "
,2019-05-09,11:17:25,1905090024100035,POS,0.00,0.00,0.00,40.00,admin," "
,2019-05-09,11:07:35,1905090024100034,POS,0.00,0.00,0.00,70.00,admin," "
,2019-05-09,10:57:15,1905090024100033,POS,0.00,0.00,0.00,100.00,admin," "
