"AmbientPOS Export (Cash Drawer)"
"Export Branch",57
"Data From",14/05/2019,00:00:00
"Data to",14/05/2019,23:59:58


,Date,Time,Title,Method,Send,Cash-In,Cash-Out,POS,Staff,Remark
,2019-05-14,13:54:26,1905140005700013,POS,0.00,0.00,0.00,45.00,admin," "
,2019-05-14,13:30:28,1905140005700011,POS,0.00,0.00,0.00,55.00,admin," "
,2019-05-14,13:30:28,1905140005700011,POS,0.00,0.00,0.00,75.00,admin," "
,2019-05-14,13:24:56,1905140005700010,POS,0.00,0.00,0.00,55.00,admin," "
,2019-05-14,13:24:56,1905140005700010,POS,0.00,0.00,0.00,55.00,admin," "
,2019-05-14,12:41:25,1905140005700009,POS,0.00,0.00,0.00,70.00,admin," "
,2019-05-14,12:18:23,1905140005700008,POS,0.00,0.00,0.00,65.00,admin," "
,2019-05-14,12:18:23,1905140005700008,POS,0.00,0.00,0.00,55.00,admin," "
,2019-05-14,12:18:23,1905140005700008,POS,0.00,0.00,0.00,65.00,admin," "
,2019-05-14,09:13:08,1905140005700006,POS,0.00,0.00,0.00,55.00,admin," "
,2019-05-14,08:38:55,1905140005700005,POS,0.00,0.00,0.00,45.00,admin," "
,2019-05-14,08:38:55,1905140005700005,POS,0.00,0.00,0.00,55.00,admin," "
,2019-05-14,08:38:55,1905140005700005,POS,0.00,0.00,0.00,50.00,admin," "
,2019-05-14,07:36:23,1905140005700003,POS,0.00,0.00,0.00,55.00,admin," "
,2019-05-14,07:36:23,1905140005700003,POS,0.00,0.00,0.00,55.00,admin," "
,2019-05-14,07:36:23,1905140005700003,POS,0.00,0.00,0.00,70.00,admin," "
,2019-05-14,07:20:16,1905140005700002,POS,0.00,0.00,0.00,130.00,admin," "
,2019-05-14,07:20:16,1905140005700002,POS,0.00,0.00,0.00,75.00,admin," "
,2019-05-14,07:20:16,1905140005700002,POS,0.00,0.00,0.00,55.00,admin," "
,2019-05-14,07:20:16,1905140005700002,POS,0.00,0.00,0.00,25.00,admin," "
,,,Total,,0.00,0.00,0.00,"1,210.00",,
