"AmbientPOS Export (Cash Drawer)"
"Export Branch",232
"Data From",09/05/2019,00:00:00
"Data to",09/05/2019,23:59:58


,Date,Time,Title,Method,Send,Cash-In,Cash-Out,POS,Staff,Remark
,2019-05-09,21:34:00,"Send Money",Send,"5,480.00",0.00,0.00,0.00,admin,
,2019-05-09,19:01:10,1905090023210012,POS,0.00,0.00,0.00,20.00,honeydew," "
,2019-05-09,19:01:10,1905090023210012,POS,0.00,0.00,0.00,135.00,honeydew," "
,2019-05-09,18:45:46,1905090023210010,POS,0.00,0.00,0.00,90.00,honeydew," "
,2019-05-09,18:45:46,1905090023210010,POS,0.00,0.00,0.00,120.00,honeydew," "
,2019-05-09,18:45:46,1905090023210010,POS,0.00,0.00,0.00,85.00,honeydew," "
,2019-05-09,16:09:24,1905090023210009,POS,0.00,0.00,0.00,40.00,honeydew," "
,2019-05-09,16:09:24,1905090023210009,POS,0.00,0.00,0.00,20.00,honeydew," "
,2019-05-09,16:08:33,1905090023210008,POS,0.00,0.00,0.00,65.00,honeydew," "
,2019-05-09,16:08:33,1905090023210008,POS,0.00,0.00,0.00,105.00,honeydew," "
,2019-05-09,16:08:33,1905090023210008,POS,0.00,0.00,0.00,240.00,honeydew," "
,2019-05-09,16:03:35,1905090023210007,POS,0.00,0.00,0.00,105.00,honeydew," "
,2019-05-09,16:03:35,1905090023210007,POS,0.00,0.00,0.00,40.00,honeydew," "
,2019-05-09,16:03:35,1905090023210007,POS,0.00,0.00,0.00,125.00,honeydew," "
,2019-05-09,16:03:35,1905090023210007,POS,0.00,0.00,0.00,275.00,honeydew," "
,2019-05-09,16:03:35,1905090023210007,POS,0.00,0.00,0.00,185.00,honeydew," "
,2019-05-09,16:03:35,1905090023210007,POS,0.00,0.00,0.00,130.00,honeydew," "
,2019-05-09,16:03:35,1905090023210007,POS,0.00,0.00,0.00,95.00,honeydew," "
,2019-05-09,16:03:35,1905090023210007,POS,0.00,0.00,0.00,85.00,honeydew," "
,2019-05-09,16:03:35,1905090023210007,POS,0.00,0.00,0.00,90.00,honeydew," "
,2019-05-09,15:42:06,1905090023210006,POS,0.00,0.00,0.00,120.00,honeydew," "
,2019-05-09,15:42:06,1905090023210006,POS,0.00,0.00,0.00,75.00,honeydew," "
,2019-05-09,14:42:26,1905090023210005,POS,0.00,0.00,0.00,180.00,honeydew," "
,2019-05-09,14:42:26,1905090023210005,POS,0.00,0.00,0.00,240.00,honeydew," "
,2019-05-09,14:42:26,1905090023210005,POS,0.00,0.00,0.00,155.00,honeydew," "
,2019-05-09,14:42:26,1905090023210005,POS,0.00,0.00,0.00,440.00,honeydew," "
,2019-05-09,14:42:26,1905090023210005,POS,0.00,0.00,0.00,135.00,honeydew," "
,2019-05-09,14:42:26,1905090023210005,POS,0.00,0.00,0.00,75.00,honeydew," "
,2019-05-09,14:42:26,1905090023210005,POS,0.00,0.00,0.00,150.00,honeydew," "
,2019-05-09,14:42:26,1905090023210005,POS,0.00,0.00,0.00,90.00,honeydew," "
,2019-05-09,14:03:03,1905090023210004,POS,0.00,0.00,0.00,85.00,honeydew," "
,2019-05-09,14:03:03,1905090023210004,POS,0.00,0.00,0.00,20.00,honeydew," "
,2019-05-09,14:03:03,1905090023210004,POS,0.00,0.00,0.00,185.00,honeydew," "
,2019-05-09,14:03:03,1905090023210004,POS,0.00,0.00,0.00,230.00,honeydew," "
,2019-05-09,13:39:09,1905090023210003,POS,0.00,0.00,0.00,85.00,honeydew," "
,2019-05-09,13:39:09,1905090023210003,POS,0.00,0.00,0.00,140.00,honeydew," "
,2019-05-09,13:39:09,1905090023210003,POS,0.00,0.00,0.00,230.00,honeydew," "
,2019-05-09,13:39:09,1905090023210003,POS,0.00,0.00,0.00,110.00,honeydew," "
,2019-05-09,13:31:08,1905090023210002,POS,0.00,0.00,0.00,40.00,honeydew," "
,2019-05-09,13:31:08,1905090023210002,POS,0.00,0.00,0.00,155.00,honeydew," "
,2019-05-09,13:31:08,1905090023210002,POS,0.00,0.00,0.00,190.00,honeydew," "
,2019-05-09,13:31:08,1905090023210002,POS,0.00,0.00,0.00,115.00,honeydew," "
,2019-05-09,13:31:08,1905090023210002,POS,0.00,0.00,0.00,185.00,honeydew," "
,,,Total,,"5,480.00",0.00,0.00,"5,480.00",,
