"AmbientPOS Export (Cash Drawer)"
"Export Branch",218
"Data From",19/05/2019,00:00:00
"Data to",19/05/2019,23:59:58


,Date,Time,Title,Method,Send,Cash-In,Cash-Out,POS,Staff,Remark
,2019-05-19,17:07:33,"Send Money",Send,"14,965.00",0.00,0.00,0.00,cashier,สาขาEsso
,2019-05-19,16:52:14,1905190021800162,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,16:52:14,1905190021800162,POS,0.00,0.00,0.00,75.00,cashier," "
,2019-05-19,16:43:31,1905190021800161,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,16:38:11,1905190021800160,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,16:38:11,1905190021800160,POS,0.00,0.00,0.00,-5.00,cashier," "
,2019-05-19,16:34:30,1905190021800159,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,16:34:30,1905190021800159,POS,0.00,0.00,0.00,95.00,cashier," "
,2019-05-19,16:16:08,1905190021800158,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,16:16:08,1905190021800158,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,16:07:31,1905190021800157,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,16:07:31,1905190021800157,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,15:48:08,1905190021800156,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,15:40:44,1905190021800155,POS,0.00,0.00,0.00,130.00,cashier," "
,2019-05-19,15:31:56,1905190021800154,POS,0.00,0.00,0.00,-10.00,cashier," "
,2019-05-19,15:31:56,1905190021800154,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,15:31:56,1905190021800154,POS,0.00,0.00,0.00,50.00,cashier," "
,2019-05-19,15:31:03,1905190021800153,POS,0.00,0.00,0.00,85.00,cashier," "
,2019-05-19,15:31:03,1905190021800153,POS,0.00,0.00,0.00,90.00,cashier," "
,2019-05-19,15:31:03,1905190021800153,POS,0.00,0.00,0.00,70.00,cashier," "
,2019-05-19,15:29:07,1905190021800152,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,15:29:07,1905190021800152,POS,0.00,0.00,0.00,-5.00,cashier," "
,2019-05-19,15:24:19,1905190021800151,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,15:22:26,1905190021800150,POS,0.00,0.00,0.00,85.00,cashier," "
,2019-05-19,15:22:26,1905190021800150,POS,0.00,0.00,0.00,100.00,cashier," "
,2019-05-19,15:22:26,1905190021800150,POS,0.00,0.00,0.00,75.00,cashier," "
,2019-05-19,15:14:23,1905190021800149,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,15:12:34,1905190021800148,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,15:02:41,1905190021800147,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,15:02:41,1905190021800147,POS,0.00,0.00,0.00,70.00,cashier," "
,2019-05-19,14:55:31,1905190021800146,POS,0.00,0.00,0.00,110.00,cashier," "
,2019-05-19,14:53:59,1905190021800145,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,14:53:59,1905190021800145,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,14:49:02,1905190021800144,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,14:39:19,1905190021800143,POS,0.00,0.00,0.00,130.00,cashier," "
,2019-05-19,14:33:59,1905190021800142,POS,0.00,0.00,0.00,110.00,cashier," "
,2019-05-19,14:33:12,1905190021800141,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,14:29:36,1905190021800140,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,14:29:36,1905190021800140,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,14:29:36,1905190021800140,POS,0.00,0.00,0.00,-5.00,cashier," "
,2019-05-19,14:27:54,"เค้กชาไทย,เค้กส้ม","Cash Out",0.00,0.00,80.00,0.00,cashier,สาขาEsso
,2019-05-19,14:23:40,1905190021800139,POS,0.00,0.00,0.00,95.00,cashier," "
,2019-05-19,14:17:22,1905190021800138,POS,0.00,0.00,0.00,120.00,cashier," "
,2019-05-19,14:17:22,1905190021800138,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,14:14:07,1905190021800137,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,14:14:07,1905190021800137,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,14:08:56,1905190021800136,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,14:07:53,1905190021800135,POS,0.00,0.00,0.00,-5.00,cashier," "
,2019-05-19,14:07:53,1905190021800135,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,14:07:53,1905190021800135,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,14:06:28,1905190021800134,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,14:06:28,1905190021800134,POS,0.00,0.00,0.00,-5.00,cashier," "
,2019-05-19,14:03:18,1905190021800133,POS,0.00,0.00,0.00,-5.00,cashier," "
,2019-05-19,14:03:18,1905190021800133,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,13:59:15,1905190021800132,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,13:59:15,1905190021800132,POS,0.00,0.00,0.00,-5.00,cashier," "
,2019-05-19,13:54:13,1905190021800130,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,13:54:13,1905190021800130,POS,0.00,0.00,0.00,-10.00,cashier," "
,2019-05-19,13:54:13,1905190021800130,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,13:53:27,1905190021800129,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,13:53:27,1905190021800129,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,13:53:27,1905190021800129,POS,0.00,0.00,0.00,85.00,cashier," "
,2019-05-19,13:51:14,1905190021800128,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,13:51:14,1905190021800128,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,13:48:47,1905190021800127,POS,0.00,0.00,0.00,150.00,cashier," "
,2019-05-19,13:47:04,1905190021800126,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,13:34:50,1905190021800125,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,13:34:50,1905190021800125,POS,0.00,0.00,0.00,50.00,cashier," "
,2019-05-19,13:34:21,1905190021800124,POS,0.00,0.00,0.00,-5.00,cashier," "
,2019-05-19,13:34:21,1905190021800124,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,13:33:22,1905190021800123,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,13:32:54,1905190021800122,POS,0.00,0.00,0.00,50.00,cashier," "
,2019-05-19,13:31:46,1905190021800121,POS,0.00,0.00,0.00,50.00,cashier," "
,2019-05-19,13:31:46,1905190021800121,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,13:26:55,1905190021800120,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,13:26:01,1905190021800119,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,13:25:26,1905190021800118,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,13:25:26,1905190021800118,POS,0.00,0.00,0.00,-5.00,cashier," "
,2019-05-19,13:24:51,1905190021800117,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,13:24:51,1905190021800117,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,13:22:56,1905190021800116,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,13:22:25,1905190021800115,POS,0.00,0.00,0.00,50.00,cashier," "
,2019-05-19,13:22:25,1905190021800115,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,13:22:25,1905190021800115,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,13:21:26,1905190021800114,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,13:21:26,1905190021800114,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,13:21:26,1905190021800114,POS,0.00,0.00,0.00,85.00,cashier," "
,2019-05-19,13:20:26,1905190021800113,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,13:20:26,1905190021800113,POS,0.00,0.00,0.00,65.00,cashier," "
