"AmbientPOS Export (Cash Drawer)"
"Export Branch",214
"Data From",19/05/2019,00:00:00
"Data to",19/05/2019,23:59:58


,Date,Time,Title,Method,Send,Cash-In,Cash-Out,POS,Staff,Remark
,2019-05-19,16:39:31,1905190021400156,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,16:39:09,1905190021400155,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,16:03:39,1905190021400153,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,15:40:17,1905190021400152,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,15:39:54,1905190021400151,POS,0.00,0.00,0.00,85.00,cashier," "
,2019-05-19,15:28:26,1905190021400150,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,15:23:47,1905190021400149,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,15:04:44,1905190021400148,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,15:04:44,1905190021400148,POS,0.00,0.00,0.00,50.00,cashier," "
,2019-05-19,14:57:05,1905190021400146,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,14:56:49,1905190021400145,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,14:54:07,1905190021400144,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,14:51:02,1905190021400143,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,14:43:24,1905190021400142,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,14:43:24,1905190021400142,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,14:39:21,1905190021400141,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,14:39:02,1905190021400140,POS,0.00,0.00,0.00,90.00,cashier," "
,2019-05-19,14:39:02,1905190021400140,POS,0.00,0.00,0.00,-5.00,cashier," "
,2019-05-19,14:39:02,1905190021400140,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,14:34:23,1905190021400139,POS,0.00,0.00,0.00,50.00,cashier," "
,2019-05-19,14:34:23,1905190021400139,POS,0.00,0.00,0.00,75.00,cashier," "
,2019-05-19,14:34:23,1905190021400139,POS,0.00,0.00,0.00,90.00,cashier," "
,2019-05-19,14:28:05,1905190021400138,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,14:28:05,1905190021400138,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,14:27:18,1905190021400137,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,14:23:19,1905190021400136,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,14:22:06,1905190021400135,POS,0.00,0.00,0.00,140.00,cashier," "
,2019-05-19,14:20:28,1905190021400134,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,14:19:11,1905190021400133,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,14:15:46,1905190021400132,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,14:15:46,1905190021400132,POS,0.00,0.00,0.00,-5.00,cashier," "
,2019-05-19,14:14:00,1905190021400131,POS,0.00,0.00,0.00,140.00,cashier," "
,2019-05-19,14:14:00,1905190021400131,POS,0.00,0.00,0.00,50.00,cashier," "
,2019-05-19,14:10:23,1905190021400130,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,14:06:16,1905190021400129,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,14:06:16,1905190021400129,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,13:58:51,1905190021400128,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,13:58:51,1905190021400128,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,13:52:08,1905190021400127,POS,0.00,0.00,0.00,-5.00,cashier," "
,2019-05-19,13:52:08,1905190021400127,POS,0.00,0.00,0.00,120.00,cashier," "
,2019-05-19,13:50:38,1905190021400126,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,13:50:38,1905190021400126,POS,0.00,0.00,0.00,75.00,cashier," "
,2019-05-19,13:50:38,1905190021400126,POS,0.00,0.00,0.00,15.00,cashier," "
,2019-05-19,13:49:36,1905190021400125,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,13:46:00,1905190021400124,POS,0.00,0.00,0.00,-5.00,cashier," "
,2019-05-19,13:46:00,1905190021400124,POS,0.00,0.00,0.00,80.00,cashier," "
,2019-05-19,13:46:00,1905190021400124,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,13:41:07,1905190021400123,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,13:41:07,1905190021400123,POS,0.00,0.00,0.00,20.00,cashier," "
,2019-05-19,13:38:15,1905190021400122,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,13:38:15,1905190021400122,POS,0.00,0.00,0.00,-5.00,cashier," "
,2019-05-19,13:37:42,1905190021400121,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,13:37:42,1905190021400121,POS,0.00,0.00,0.00,60.00,cashier," "
,2019-05-19,13:36:29,1905190021400120,POS,0.00,0.00,0.00,100.00,cashier," "
,2019-05-19,13:33:39,1905190021400119,POS,0.00,0.00,0.00,80.00,cashier," "
,2019-05-19,13:33:39,1905190021400119,POS,0.00,0.00,0.00,20.00,cashier," "
,2019-05-19,13:30:51,1905190021400118,POS,0.00,0.00,0.00,55.00,cashier," "
,2019-05-19,13:30:28,1905190021400117,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,13:28:00,1905190021400116,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,13:28:00,1905190021400116,POS,0.00,0.00,0.00,-5.00,cashier," "
,2019-05-19,13:28:00,1905190021400116,POS,0.00,0.00,0.00,65.00,cashier," "
,2019-05-19,13:26:38,1905190021400115,POS,0.00,0.00,0.00,75.00,cashier," "
,2019-05-19,13:21:03,1905190021400114,POS,0.00,0.00,0.00,130.00,cashier," "
