"AmbientPOS Export (Cash Drawer)"
"Export Branch",60
"Data From",19/05/2019,00:00:00
"Data to",19/05/2019,23:59:58


,Date,Time,Title,Method,Send,Cash-In,Cash-Out,POS,Staff,Remark
,2019-05-19,16:32:01,เงินทอนของป้าเตี้ย,"Cash In",0.00,972.00,0.00,0.00,Dern,
,2019-05-19,16:30:09,น้ำตาลทราย,"Cash Out",0.00,0.00,"2,000.00",0.00,Dern,
,2019-05-19,16:26:14,1905190006000098,POS,0.00,0.00,0.00,70.00,," "
,2019-05-19,16:10:29,1905190006000096,POS,0.00,0.00,0.00,25.00,," "
,2019-05-19,16:10:29,1905190006000096,POS,0.00,0.00,0.00,120.00,," "
,2019-05-19,16:08:38,1905190006000098,POS,0.00,0.00,0.00,25.00,," "
,2019-05-19,16:08:38,1905190006000098,POS,0.00,0.00,0.00,50.00,," "
,2019-05-19,16:08:24,"Send Money",Send,"20,000.00",0.00,0.00,0.00,admin,
,2019-05-19,16:06:54,1905190006000097,POS,0.00,0.00,0.00,90.00,," "
,2019-05-19,16:06:54,1905190006000097,POS,0.00,0.00,0.00,70.00,," "
,2019-05-19,16:06:54,1905190006000097,POS,0.00,0.00,0.00,2.00,," "
,2019-05-19,16:06:54,1905190006000097,POS,0.00,0.00,0.00,15.00,," "
,2019-05-19,16:06:54,1905190006000097,POS,0.00,0.00,0.00,50.00,," "
,2019-05-19,16:06:29,1905190006000095,POS,0.00,0.00,0.00,25.00,," "
,2019-05-19,15:56:45,1905190006000093,POS,0.00,0.00,0.00,50.00,," "
,2019-05-19,15:53:00,1905190006000092,POS,0.00,0.00,0.00,50.00,," "
,2019-05-19,15:44:13,1905190006000095,POS,0.00,0.00,0.00,20.00,," "
,2019-05-19,15:44:13,1905190006000095,POS,0.00,0.00,0.00,50.00,," "
,2019-05-19,15:39:35,1905190006000093,POS,0.00,0.00,0.00,2.00,," "
,2019-05-19,15:39:35,1905190006000093,POS,0.00,0.00,0.00,30.00,," "
,2019-05-19,15:34:43,1905190006000092,POS,0.00,0.00,0.00,10.00,," "
,2019-05-19,15:34:43,1905190006000092,POS,0.00,0.00,0.00,20.00,," "
,2019-05-19,15:34:43,1905190006000092,POS,0.00,0.00,0.00,120.00,," "
,2019-05-19,15:34:43,1905190006000092,POS,0.00,0.00,0.00,80.00,," "
,2019-05-19,15:34:43,1905190006000092,POS,0.00,0.00,0.00,1.00,," "
,2019-05-19,15:30:57,1905190006000089,POS,0.00,0.00,0.00,25.00,," "
,2019-05-19,15:27:08,1905190006000089,POS,0.00,0.00,0.00,15.00,," "
,2019-05-19,15:26:28,1905190006000094,POS,0.00,0.00,0.00,10.00,," "
,2019-05-19,15:26:28,1905190006000094,POS,0.00,0.00,0.00,120.00,," "
,2019-05-19,15:26:28,1905190006000094,POS,0.00,0.00,0.00,65.00,," "
,2019-05-19,15:26:28,1905190006000094,POS,0.00,0.00,0.00,70.00,," "
,2019-05-19,15:23:25,1905190006000091,POS,0.00,0.00,0.00,50.00,," "
,2019-05-19,15:23:25,1905190006000091,POS,0.00,0.00,0.00,2.00,," "
,2019-05-19,15:23:25,1905190006000091,POS,0.00,0.00,0.00,10.00,," "
,2019-05-19,15:23:25,1905190006000091,POS,0.00,0.00,0.00,25.00,," "
,2019-05-19,15:23:25,1905190006000091,POS,0.00,0.00,0.00,59.00,," "
,2019-05-19,15:23:25,1905190006000091,POS,0.00,0.00,0.00,50.00,," "
,2019-05-19,15:16:08,1905190006000093,POS,0.00,0.00,0.00,100.00,," "
,2019-05-19,15:16:08,1905190006000093,POS,0.00,0.00,0.00,120.00,," "
,2019-05-19,15:16:08,1905190006000093,POS,0.00,0.00,0.00,60.00,," "
,2019-05-19,15:16:08,1905190006000093,POS,0.00,0.00,0.00,25.00,," "
,2019-05-19,15:16:08,1905190006000093,POS,0.00,0.00,0.00,149.00,," "
,2019-05-19,15:16:08,1905190006000093,POS,0.00,0.00,0.00,59.00,," "
,2019-05-19,15:16:08,1905190006000093,POS,0.00,0.00,0.00,50.00,," "
,2019-05-19,15:10:44,1905190006000090,POS,0.00,0.00,0.00,60.00,," "
,2019-05-19,15:10:44,1905190006000090,POS,0.00,0.00,0.00,80.00,," "
,2019-05-19,15:10:44,1905190006000090,POS,0.00,0.00,0.00,50.00,," "
,2019-05-19,15:10:44,1905190006000090,POS,0.00,0.00,0.00,20.00,," "
,2019-05-19,15:10:44,1905190006000090,POS,0.00,0.00,0.00,15.00,," "
,2019-05-19,15:10:44,1905190006000090,POS,0.00,0.00,0.00,10.00,," "
,2019-05-19,15:09:34,1905190006000085,POS,0.00,0.00,0.00,25.00,," "
,2019-05-19,15:09:12,1905190006000089,POS,0.00,0.00,0.00,60.00,," "
,2019-05-19,15:08:09,1905190006000089,POS,0.00,0.00,0.00,15.00,," "
,2019-05-19,15:04:40,1905190006000087,POS,0.00,0.00,0.00,20.00,," "
,2019-05-19,15:01:03,1905190006000087,POS,0.00,0.00,0.00,45.00,," "
,2019-05-19,15:00:42,1905190006000089,POS,0.00,0.00,0.00,10.00,," "
,2019-05-19,14:58:54,1905190006000084,POS,0.00,0.00,0.00,50.00,," "
,2019-05-19,14:58:54,1905190006000084,POS,0.00,0.00,0.00,50.00,," "
,2019-05-19,14:58:54,1905190006000084,POS,0.00,0.00,0.00,50.00,," "
,2019-05-19,14:56:38,1905190006000088,POS,0.00,0.00,0.00,2.00,," "
,2019-05-19,14:56:38,1905190006000088,POS,0.00,0.00,0.00,10.00,," "
,2019-05-19,14:56:38,1905190006000088,POS,0.00,0.00,0.00,100.00,," "
,2019-05-19,14:56:38,1905190006000088,POS,0.00,0.00,0.00,50.00,," "
,2019-05-19,14:51:44,1905190006000083,POS,0.00,0.00,0.00,50.00,," "
,2019-05-19,14:51:03,1905190006000089,POS,0.00,0.00,0.00,0.00,," "
,2019-05-19,14:51:03,1905190006000089,POS,0.00,0.00,0.00,10.00,," "
,2019-05-19,14:48:16,1905190006000086,POS,0.00,0.00,0.00,10.00,," "
,2019-05-19,14:44:29,1905190006000089,POS,0.00,0.00,0.00,60.00,," "
,2019-05-19,14:44:29,1905190006000089,POS,0.00,0.00,0.00,80.00,," "
,2019-05-19,14:44:29,1905190006000089,POS,0.00,0.00,0.00,50.00,," "
,2019-05-19,14:44:29,1905190006000089,POS,0.00,0.00,0.00,60.00,," "
,2019-05-19,14:44:29,1905190006000089,POS,0.00,0.00,0.00,4.00,," "
,2019-05-19,14:44:29,1905190006000089,POS,0.00,0.00,0.00,30.00,," "
,2019-05-19,14:44:29,1905190006000089,POS,0.00,0.00,0.00,50.00,," "
,2019-05-19,14:42:51,1905190006000085,POS,0.00,0.00,0.00,50.00,," "
,2019-05-19,14:42:51,1905190006000085,POS,0.00,0.00,0.00,50.00,," "
,2019-05-19,14:42:51,1905190006000085,POS,0.00,0.00,0.00,50.00,," "
,2019-05-19,14:42:51,1905190006000085,POS,0.00,0.00,0.00,80.00,," "
,2019-05-19,14:42:51,1905190006000085,POS,0.00,0.00,0.00,50.00,," "
,2019-05-19,14:42:51,1905190006000085,POS,0.00,0.00,0.00,1.00,," "
,2019-05-19,14:42:51,1905190006000085,POS,0.00,0.00,0.00,10.00,," "
,2019-05-19,14:42:17,1905190006000087,POS,0.00,0.00,0.00,20.00,," "
,2019-05-19,14:42:02,1905190006000087,POS,0.00,0.00,0.00,3.00,," "
,2019-05-19,14:42:02,1905190006000087,POS,0.00,0.00,0.00,10.00,," "
,2019-05-19,14:42:02,1905190006000087,POS,0.00,0.00,0.00,120.00,," "
,2019-05-19,14:42:02,1905190006000087,POS,0.00,0.00,0.00,59.00,," "
,2019-05-19,14:42:02,1905190006000087,POS,0.00,0.00,0.00,40.00,," "
,2019-05-19,14:40:57,1905190006000081,POS,0.00,0.00,0.00,225.00,," "
,2019-05-19,14:38:06,1905190006000086,POS,0.00,0.00,0.00,120.00,," "
,2019-05-19,14:38:06,1905190006000086,POS,0.00,0.00,0.00,59.00,," "
,2019-05-19,14:38:06,1905190006000086,POS,0.00,0.00,0.00,19.00,," "
,2019-05-19,14:38:06,1905190006000086,POS,0.00,0.00,0.00,60.00,," "
,2019-05-19,14:35:28,1905190006000086,POS,0.00,0.00,0.00,2.00,," "
,2019-05-19,14:35:28,1905190006000086,POS,0.00,0.00,0.00,10.00,," "
,2019-05-19,14:31:06,1905190006000081,POS,0.00,0.00,0.00,80.00,," "
,2019-05-19,14:31:06,1905190006000081,POS,0.00,0.00,0.00,160.00,," "
,2019-05-19,14:29:23,1905190006000083,POS,0.00,0.00,0.00,50.00,," "
,2019-05-19,14:29:23,1905190006000083,POS,0.00,0.00,0.00,60.00,," "
,2019-05-19,14:29:23,1905190006000083,POS,0.00,0.00,0.00,65.00,," "
,2019-05-19,14:29:23,1905190006000083,POS,0.00,0.00,0.00,25.00,," "
,2019-05-19,14:24:08,1905190006000075,POS,0.00,0.00,0.00,25.00,," "
,2019-05-19,14:23:38,1905190006000075,POS,0.00,0.00,0.00,25.00,," "
,2019-05-19,14:16:22,1905190006000082,POS,0.00,0.00,0.00,70.00,," "
,2019-05-19,14:16:22,1905190006000082,POS,0.00,0.00,0.00,2.00,," "
,2019-05-19,14:16:22,1905190006000082,POS,0.00,0.00,0.00,10.00,," "
,2019-05-19,14:16:22,1905190006000082,POS,0.00,0.00,0.00,50.00,," "
,2019-05-19,14:15:33,1905190006000073,POS,0.00,0.00,0.00,25.00,," "
,2019-05-19,14:15:29,1905190006000080,POS,0.00,0.00,0.00,2.00,," "
,2019-05-19,14:15:29,1905190006000080,POS,0.00,0.00,0.00,10.00,," "
,2019-05-19,14:15:29,1905190006000080,POS,0.00,0.00,0.00,50.00,," "
,2019-05-19,14:15:29,1905190006000080,POS,0.00,0.00,0.00,70.00,," "
,2019-05-19,14:15:14,1905190006000073,POS,0.00,0.00,0.00,60.00,," "
,2019-05-19,14:14:16,1905190006000079,POS,0.00,0.00,0.00,4.00,," "
,2019-05-19,14:14:16,1905190006000079,POS,0.00,0.00,0.00,10.00,," "
,2019-05-19,14:14:16,1905190006000079,POS,0.00,0.00,0.00,25.00,," "
,2019-05-19,14:14:16,1905190006000079,POS,0.00,0.00,0.00,69.00,," "
,2019-05-19,14:14:16,1905190006000079,POS,0.00,0.00,0.00,50.00,," "
,2019-05-19,14:14:16,1905190006000079,POS,0.00,0.00,0.00,50.00,," "
